Cluster,CellType
0,CD8+ GZMK+ IFNGint T Cells
1,CD4+ Undefined T Cells
2,Regulatory T Cells
3,CD4+ Effector Memory T Cells
4,CD8+ GZMK+ IFNGhi T Cells
5,Naive T Cells
6,CD8+ GZMK+ IFNGhi T Cells
7,CD4- CD8- T Cells
8,CD4+ Tissue-Resident Memory T Cells
9,HSPhi T Cells
10,CD8+ Undefined T Cells
11,CD4- CD8- T Cells
12,CD8+ Undefined T Cells
13,CD8+ GZMK+ IFNGint T Cells
14,Regulatory T Cells
15,CD8+ GZMK+ IFNGint T Cells
16,CD4- CD8- T Cells
17,HSPhi T Cells
18,Dividing T Cells
19,CD4- CD8- T Cells
20,CD8+ GZMK+ IFNGhi T Cells
21,CD8+ GZMK+ IFNGint T Cells
22,CD8+ GZMK+ IFNGint T Cells
23,CD8+ GZMK+ IFNGhi T Cells
24,HSPhi T Cells
25,CD4- CD8- T Cells
